username,tanggal,tweet
sarihidayat,2023-01-11,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimas_firmansyah,2023-01-18,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
aguswijaya,2023-01-22,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
indrawulandariaa,2023-01-07,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
budiwijaya81,2023-01-03,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
agus_wulandari,2023-01-09,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dimassaputra,2023-01-03,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
dewimaulana33,2023-01-24,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
nanda.pratama,2023-01-08,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
nandasetiawanaa,2023-01-27,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
fitri.wijaya,2023-01-05,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
budiapriliaaa,2023-01-02,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
lindamaulana_,2023-01-14,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
dimas.maulana,2023-01-09,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andi_hidayat88,2023-01-08,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
sarisaputra_,2023-01-16,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
agus_setiawan,2023-01-07,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andisetiawanaa,2023-02-12,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
linda_wijaya,2023-02-06,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
lindawulandari_,2023-02-28,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
ayulestariaa,2023-02-19,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
indramaulanaaa,2023-02-19,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
indralestari_,2023-02-02,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
fitri_hidayat39,2023-02-06,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fajarapriliaaa,2023-02-03,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajar_saputra12,2023-02-06,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
fajarlestari,2023-02-06,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
sarifirmansyah58,2023-02-06,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
dimaspratama92,2023-02-13,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fitri_saputra54,2023-02-10,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
sarisaputra71,2023-02-09,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fajarfirmansyah_,2023-02-11,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
dimaslestariaa,2023-02-20,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
fajarwijaya,2023-02-05,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
ayuwijayaaa,2023-02-14,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
nanda.maulana,2023-02-15,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
putriwijaya,2023-02-16,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
putrilestariaa,2023-02-12,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
fitriwijaya,2023-02-17,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fitrimaulana,2023-02-09,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dewi_firmansyah,2023-02-09,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
indraaprilia12,2023-02-18,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
dimas_setiawan13,2023-02-11,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
rizkylestariaa,2023-02-18,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dewihidayat,2023-02-12,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
dimassetiawan_,2023-02-03,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andihidayat_,2023-02-05,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajarmaulana21,2023-02-27,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
linda_aprilia,2023-02-25,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
budi_pratama92,2023-02-24,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
lindapratama,2023-02-21,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
linda_saputra,2023-02-25,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
budi.maulana,2023-02-05,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
lindasaputraaa,2023-02-24,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fitri.wulandari,2023-02-21,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
ayufirmansyah36,2023-02-22,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dewilestari_,2023-02-04,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
ayu_setiawan,2023-02-07,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andiwijaya54,2023-02-11,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
dewifirmansyah53,2023-02-14,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimaswijaya23,2023-02-21,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
sari_pratama60,2023-02-01,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
agussetiawan_,2023-02-24,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
nandapratamaaa,2023-02-02,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
nandawulandari_,2023-02-22,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
budiwulandariaa,2023-02-03,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
putrisaputra_,2023-02-14,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fitri_wijaya79,2023-02-22,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
sarisetiawan,2023-02-15,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fitri_maulana65,2023-02-23,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andi_wijaya72,2023-02-08,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
budi_wijaya67,2023-02-25,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
fajar.aprilia,2023-02-24,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
putri_lestari,2023-03-27,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dimassetiawan,2023-03-02,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
sarihidayat_,2023-03-10,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
rizkysetiawanaa,2023-03-18,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
aguspratama,2023-03-24,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fajarhidayataa,2023-03-16,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajar_lestari,2023-03-19,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
indra_wijaya,2023-03-16,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
rizkywijaya_,2023-03-14,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
putrihidayat59,2023-03-19,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
fajarhidayat,2023-03-02,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
andiaprilia_,2023-03-01,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
nanda.wulandari,2023-03-25,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
putrimaulana46,2023-03-02,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
nanda.saputra,2023-03-10,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
dewisetiawan52,2023-03-15,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
fajar.hidayat,2023-03-27,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
dewiwijayaaa,2023-03-13,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
ayufirmansyah,2023-03-09,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
nandahidayat5,2023-03-09,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
agus.pratama,2023-03-18,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
fitri_saputra30,2023-03-06,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
budi_firmansyah,2023-03-03,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
linda_wulandari15,2023-03-08,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajarwulandari_,2023-03-26,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajarlestari38,2023-03-08,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
ayuaprilia65,2023-03-17,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
budiwulandari69,2023-03-21,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fitrifirmansyah82,2023-03-04,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
putrilestari,2023-03-22,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
dewilestari_,2023-03-09,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
ayuwulandari_,2023-03-15,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
ayuwulandari7,2023-03-25,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
rizkypratama,2023-03-01,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
nanda_pratama,2023-03-10,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budimaulanaaa,2023-03-15,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
budi_lestari46,2023-03-17,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
ayulestari_,2023-03-03,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
ayu_lestari,2023-03-15,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
fajarpratama19,2023-03-01,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fitrilestari2,2023-03-11,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
sarilestariaa,2023-03-09,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budiwulandari_,2023-03-03,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andihidayat,2023-03-27,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andiapriliaaa,2023-03-24,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fajarsaputra_,2023-03-11,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
nanda_wijaya,2023-03-22,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
sari.maulana,2023-03-11,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
dimassetiawanaa,2023-03-28,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
dewilestari_,2023-03-13,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
dewi.setiawan,2023-03-24,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budihidayat_,2023-03-07,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
rizkywulandari,2023-03-28,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
lindawulandari23,2023-03-08,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andi.maulana,2023-03-25,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
andisetiawan_,2023-03-09,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fitri.wijaya,2023-04-05,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
ayuwijaya_,2023-04-23,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andisetiawanaa,2023-04-22,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
andilestari_,2023-04-02,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
nanda_lestari,2023-04-26,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
andilestariaa,2023-04-13,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
indramaulana77,2023-04-20,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
sari_setiawan71,2023-04-09,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
indra.setiawan,2023-04-03,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
putrisetiawan,2023-04-24,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
rizkymaulana,2023-04-23,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
nandapratama,2023-04-16,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
linda_wulandari57,2023-04-06,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dewimaulana,2023-04-13,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
agus_aprilia95,2023-04-16,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
sari_firmansyah,2023-04-22,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
dimassaputra12,2023-04-13,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
nandafirmansyah31,2023-04-01,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
sarifirmansyah37,2023-04-24,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
ayuhidayat,2023-04-23,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andi.setiawan,2023-04-23,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
sarisaputraaa,2023-04-21,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andilestari,2023-04-11,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
andisetiawan,2023-04-18,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fitri.wijaya,2023-04-09,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
nandapratama,2023-04-28,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
lindapratama95,2023-04-26,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
dewi_wijaya68,2023-04-15,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
agus.pratama,2023-04-28,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
sari_setiawan,2023-04-28,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
rizkypratama_,2023-04-01,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
sarisaputra,2023-04-04,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
dimas_wulandari,2023-04-13,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
ayuaprilia,2023-04-05,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
putrilestari22,2023-04-28,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
linda.lestari,2023-04-28,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
sari.hidayat,2023-04-24,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
linda_aprilia10,2023-04-23,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
ayusaputra_,2023-04-27,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
fitrihidayat_,2023-04-18,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
lindahidayataa,2023-04-25,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
agussaputraaa,2023-04-03,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dimasmaulana_,2023-04-22,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
sarisaputra,2023-04-20,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimaswijayaaa,2023-04-16,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
fitrifirmansyah_,2023-04-27,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
rizky_pratama,2023-04-13,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budi.firmansyah,2023-04-09,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
agusmaulana,2023-04-16,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
linda_maulana7,2023-04-17,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andi.wulandari,2023-04-06,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
ayulestari66,2023-04-18,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
sarisaputra13,2023-04-16,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
agus_firmansyah,2023-04-24,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
dimaswijaya,2023-04-26,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fajarfirmansyah,2023-04-23,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
dimashidayat,2023-05-17,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
agus_hidayat46,2023-05-04,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
andiapriliaaa,2023-05-01,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
agushidayat15,2023-05-10,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
ayu_pratama,2023-05-22,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
sariwulandari_,2023-05-20,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
putri.firmansyah,2023-05-28,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
lindamaulanaaa,2023-05-17,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
lindahidayat_,2023-05-25,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
rizky_wijaya98,2023-05-06,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
fajarmaulana_,2023-05-23,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
putri.lestari,2023-05-23,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fitriwulandariaa,2023-05-15,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
nanda.setiawan,2023-05-26,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimas_maulana,2023-05-11,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
putriwijaya,2023-05-13,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
rizkysetiawan_,2023-05-19,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
rizky.lestari,2023-05-16,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
dewisaputra_,2023-05-04,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budiapriliaaa,2023-05-16,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
nanda_aprilia,2023-05-26,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
agus_firmansyah,2023-05-07,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
fitri_maulana,2023-05-15,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
budiwulandari,2023-05-15,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andisetiawan_,2023-05-01,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
budi_maulana10,2023-05-13,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andi.wulandari,2023-05-28,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
ayufirmansyahaa,2023-05-11,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
putriwulandariaa,2023-05-15,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
budi_firmansyah7,2023-05-23,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
rizkywulandariaa,2023-05-04,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
dimashidayat,2023-05-19,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
nandawijaya_,2023-05-03,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
dimas_pratama,2023-05-04,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
fajar_wijaya88,2023-05-21,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andi_aprilia47,2023-05-12,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
rizkyaprilia87,2023-05-20,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
dimasmaulana,2023-05-25,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
lindawijaya_,2023-05-06,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fitriwijaya67,2023-05-18,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
dimassetiawan59,2023-05-13,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
saripratamaaa,2023-05-18,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
ayumaulanaaa,2023-05-13,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
